,Name_rus,Free_power
0,Аэропорт,83.66666666666667
1,Беговой,18.0
2,Бескудниковский,37.716
3,Дмитровский,37.716
4,Головинский,37.716
5,Хорошёвский,83.66666666666667
6,Ховрино,21.465
7,Коптево,27.3675
8,Левобережный,21.465
9,Савёловский,83.66666666666667
10,Сокол,27.3675
11,Тимирязевский,27.3675
12,Восточное Дегунино,37.716
13,Войковский,27.3675
14,Западное Дегунино,37.716
15,Арбат,44.13333333333333
16,Басманный,127.83
17,Хамовники,44.13333333333333
18,Красносельский,103.15
19,Мещанский,78.77
20,Пресненский,260.54
21,Таганский,7.23
22,Тверской,82.0
23,Якиманка,44.13333333333333
24,Замоскворечье,7.23
25,Алексеевский,34.082
26,Алтуфьевский,20.725
27,Бабушкинский,13.772
28,Бибирево,13.772
29,Бутырский,34.082
30,Лианозово,20.725
31,Лосиноостровский,13.772
32,Марфино,34.082
33,Марьина Роща,34.082
34,Останкинский,34.082
35,Отрадное,21.58
36,Ростокино,33.0
37,Северное Медведково,13.772
38,Северный,12.0
39,Свиблово,33.0
40,Ярославский,35.47
41,Южное Медведково,13.772
42,Богородское,54.875
43,Гольяново,36.56666666666667
44,Ивановское,19.03
45,Измайлово,31.319999999999997
46,Косино-Ухтомский,19.0
47,Метрогородок,36.56666666666667
48,Новогиреево,19.03
49,Новокосино,68.63
50,Перово,31.319999999999997
51,Преображенское,54.875
52,Северное Измайлово,36.56666666666667
53,Соколиная Гора,54.875
54,Сокольники,54.875
55,Вешняки,19.03
56,Восточное Измайлово,31.319999999999997
57,Восточный,4.6
58,Капотня,53.69
59,Кузьминки,53.69
60,Лефортово,38.47
61,Люблино,53.69
62,Марьино,53.69
63,Некрасовка,8.8
64,Нижегородский,68.63
65,Печатники,69.29
66,Рязанский,33.3
67,Текстильщики,53.69
68,Выхино-Жулебино,107.0
69,Южнопортовый,189.82
70,Бирюлёво Восточное,39.83
71,Бирюлёво Западное,39.83
72,Братеево,26.5
73,Чертаново Северное,44.04
74,Чертаново Центральное,44.04
75,Чертаново Южное,44.04
76,Даниловский,137.9
77,Донской,117.9
78,Москворечье-Сабурово,64.945
79,Нагатино-Садовники,26.78
80,Нагатинский Затон,26.78
81,Нагорный,11.0
82,Орехово-Борисово Северное,11.0
83,Орехово-Борисово Южное,30.69
84,Царицыно,64.945
85,Зябликово,26.5
86,Академический,51.52333333333333
87,Черёмушки,20.0
88,Гагаринский,51.52333333333333
89,Коньково,24.0
90,Котловка,11.0
91,Ломоносовский,51.52333333333333
92,Обручевский,20.0
93,Северное Бутово,91.66666666666667
94,Тёплый Стан,24.0
95,Ясенево,29.0
96,Южное Бутово,91.66666666666667
97,Зюзино,29.0
98,Дорогомилово,78.39
99,Филёвский Парк,78.39
100,Фили-Давыдково,9.95
101,Крылатское,43.07
102,Кунцево,54.31
103,Можайский,54.31
104,Ново-Переделкино,53.43
105,Очаково-Матвеевское,54.31
106,Проспект Вернадского,51.52333333333333
107,Раменки,51.52333333333333
108,Солнцево,165.25
109,Тропарёво-Никулино,51.52333333333333
110,Хорошёво-Мнёвники,31.09
111,Куркино,2.2
112,Митино,36.87
113,Покровское-Стрешнево,18.435
114,Северное Тушино,46.14
115,Щукино,29.5
116,Строгино,18.435
117,Южное Тушино,46.14
